timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773669618948,4,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,4,0,0
1773669618946,7,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618946,3,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,3,0,0
1773669618949,4,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,4,0,0
1773669618952,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618952,2,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669618954,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618953,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669618953,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669618955,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618958,4,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669618958,1,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669618959,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618958,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618958,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669618960,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618963,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669618963,1,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669618964,4,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,4,0,0
1773669618963,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618963,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669618965,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618968,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669618968,1,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669618970,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618969,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669618969,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669618970,4,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,4,0,0
1773669618973,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618973,2,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669618975,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618974,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669618974,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669618976,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618979,4,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669618979,1,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669618980,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618979,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618979,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669618981,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618983,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618983,2,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669618985,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618984,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618984,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
